feature,importance
familySupport,99.99945703747554
selfWorthLow,0.0005429625244618803
moodLow,0.0
anhedonia,0.0
sleepProblem,0.0
fatigue,0.0
concentrationDifficulty,0.0
socialWithdrawal,0.0
stressLoad,0.0
exerciseFrequency,0.0
